address,chain_id,owner_project,usage_category,contract_name
0x6DBD8100fBbfF754831Aa90A53c466d431651885,ethereum,chainlink,oracle,Bored Ape Yacht Club PriceFeed
0x6CeA38508B186DE36AAfd0f3B513E708691bc0C4,ethereum,chainlink,oracle,CACHE Gold Reserves PriceFeed
0x1C026C25271c1bFbA95B65c848F734a23eA62D4e,ethereum,chainlink,oracle,CAKE/USD PriceFeed
0x720192921a4b6fb026fA52bf03F991b65b740147,ethereum,chainlink,oracle,CTSI/ETH PriceFeed
0xf1F7F7BFCc5E9D6BB8D9617756beC06A5Cbe1a49,ethereum,chainlink,oracle,CVX/ETH PriceFeed
0xB187B5A5A4B0A2Ae32FaEDf0FE4845203E0B7b11,ethereum,chainlink,oracle,CloneX PriceFeed
0xaBd6dc0E14bdC628E62Cc946897C7fEfDCDdcD10,ethereum,chainlink,oracle,Cool Cats PriceFeed
0xc609c4fADdA31980769c9C6716F438f0a6059547,ethereum,chainlink,oracle,Cryptoadz PriceFeed
0xF0c85c0F7dC37e1605a0Db446a2A0e33Df7a3358,ethereum,chainlink,oracle,Cryptopunks PriceFeed
0x3600713c848dE06c8346900E3deDd3CAc21c06ff,ethereum,chainlink,oracle,DODO/USD PriceFeed
0x440C8fc45C7f00E09c2F437b95FC123888a3d951,ethereum,chainlink,oracle,Doodles PriceFeed
0xea7C55976844396f3bD4C89F66988b8b5Be5E96a,ethereum,chainlink,oracle,EOS/USD PriceFeed
0x920E5DC12E7500c6571C63D4Bba19c62e99d6883,ethereum,chainlink,oracle,EURt/USD PriceFeed
0x49F3C586Df22Fd6146c22E5831907919dcb80527,ethereum,chainlink,oracle,FOX/USD PriceFeed
0x0a0aba8efAB65fDD3fa7e6afcb8128bCd6ffbdBF,ethereum,chainlink,oracle,GBPT PoR PriceFeed
0x6aa553CB870a54BD62bb54E11f0B2c919925E726,ethereum,chainlink,oracle,HBTC PoR PriceFeed
0xc1F2929b9449Ef97c5A75fd10fD0542984422f8b,ethereum,chainlink,oracle,ILV/ETH PriceFeed
0x1a4E4B344125E7ef78de22b55FCeF5a4bc45f605,ethereum,chainlink,oracle,INJ/USD PriceFeed
0xb17Eac46CF1B9C5fe2F707c8A47AFc4d208b3E83,ethereum,chainlink,oracle,Mutant Ape Yacht Club PriceFeed
0xd9701835dC47837B53D5Cfe95eB5a66f42B56901,ethereum,chainlink,oracle,NEAR/USD PriceFeed
0x861334DEC28b3ba71DFFb1ABf4E57D4AD3964b5f,ethereum,chainlink,oracle,NMR/ETH PriceFeed
0xe4E345594375B54F395B54C41bD8b370A302bf69,ethereum,chainlink,oracle,NMR/USD PriceFeed
0x51aa283a37771B33101e88658C440951ee0AE02d,ethereum,chainlink,oracle,OGN/ETH PriceFeed
0x34B41725Cf934866A4b89d65395F15af2Cb9aE89,ethereum,chainlink,oracle,OMG/USD PriceFeed
0xA1b2e83815723e4e4BBF437E56f65b6AAFd5754b,ethereum,chainlink,oracle,OMG/ETH PriceFeed
0x8B1668905367a2EFB610e7aA1DC6F4F26d1f7268,ethereum,chainlink,oracle,ONT/USD PriceFeed
0x782EE2B86316d04F226Ba416d5dF5358a2D6102f,ethereum,chainlink,oracle,ORN/ETH PriceFeed
0x932354AeA65a17B265bf22D29f7132ECfE86747d,ethereum,chainlink,oracle,OXT/USD PriceFeed
0x66d35ccD808317870198793a96b88ab69dCAe53B,ethereum,chainlink,oracle,PAXG/ETH PriceFeed
0xC84E8CF8C30775d4639364C759fd0aBDb941Db9C,ethereum,chainlink,oracle,PAXG Reserves PriceFeed
0xd7Fc11b34D7BaE2E94B958C4ab06D950f0bD4C3E,ethereum,chainlink,oracle,RLC/ETH PriceFeed
0xDF627aa5B9C024818c6950fDAD7e4C16D93b10Ca,ethereum,chainlink,oracle,SAND/USD PriceFeed
0x070f15084600Aceace6D639CDDd0e341975D1e30,ethereum,chainlink,oracle,SPELL/USD PriceFeed
0xCFC1C64e721bC034ab894302B78149b3C7a1066d,ethereum,chainlink,oracle,SXP/USD PriceFeed
0x20086D92838C475fc3aDE8B745EfB33213793080,ethereum,chainlink,oracle,TOMO/USD PriceFeed
0xc1D757bee6BCDD45093979bFE60d341B833B2dB0,ethereum,chainlink,oracle,TRIBE/ETH PriceFeed
0xAbA1EACE8627c15324890315E942A4FBD73b70E0,ethereum,chainlink,oracle,TRU/USD PriceFeed
0xAC099D59755982757537F13c7c4Ae8c8d9F030B9,ethereum,chainlink,oracle,TUSD Reserves PriceFeed
0x9257D83A0DdA413cA24F66dD32A056Bc2eBAFd2e,ethereum,chainlink,oracle,Total Marketcap/USD PriceFeed
0xb6F94457113A091959E492Ef38bc3aE3cc475C63,ethereum,chainlink,oracle,US+ PoR (Fluent Finance) PriceFeed
0xE7b27118b92d3a23afEa153953FeD8853dbFa8FA,ethereum,chainlink,oracle,USDP Reserves PriceFeed
0xe0552DC960366F67Da00CB3d9DF441F24B5C2AC1,ethereum,chainlink,oracle,VeeFriends PriceFeed
0xB622b7D6d9131cF6A1230EBa91E5da58dbea6F59,ethereum,chainlink,oracle,WBTC PoR PriceFeed
0xc29d104A418a08407f9f2CDb614c1CDCf82986e0,ethereum,chainlink,oracle,WING/USD PriceFeed
0x45B68d24Df514BF13a838d88bE4363F8011719de,ethereum,chainlink,oracle,World of Women PriceFeed
